15054,DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,développement professionnel et personnel,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,,,00101 DEVELOPPEMENT DES COMPETENCES,15061 ACCOMPAGNEMENT VERS EMPLOI$15031 ADAPTATION SOCIALE$15043 ALPHABETISATION$15081 BILAN PROFESSIONNEL$15059 CONNAISSANCE MONDE ACTUEL$15058 CULTURE GENERALE$15066 EFFICACITE PERSONNELLE$15091 GESTION CARRIERE PERSONNELLE$15041 MISE A NIVEAU$15084 PREPARATION ENTREE FORMATION$15073 PREPARATION EXAMEN CONCOURS$15048 PREPARATION RETRAITE$15064 PREPARATION VAE$15034 RELATION INTERPERSONNELLE$15038 VIE QUOTIDIENNE LOISIR,32154 ENCADREMENT MANAGEMENT$44542 PEDAGOGIE,,"Employer si possible un descripteur plus précis. Pour les professionnels de l'orientation, l'insertion ou la formation, se reporter au champ INGÉNIERIE FORMATION PÉDAGOGIE 445.",,"423 Vie familiale, vie sociale et autres formations au développement personnel",,15054 DEVELOPPEMENT PERSONNEL ET PROFESSIONNEL,,A0A0
15061,ACCOMPAGNEMENT VERS EMPLOI,accompagnement vers emploi,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,insertion professionnelle$insertion socioprofessionnelle$préparation emploi$réinsertion professionnelle,,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15070 TECHNIQUE RECHERCHE EMPLOI,,,"Employé pour les formations visant l'insertion ou la réinsertion professionnelle par la réactualisation des compétences, la redynamisation, la remise en confiance et un soutien actif à la recherche d'emploi ; pour les formations concernant uniquement les techniques de recherche d'emploi, employer TECHNIQUE RECHERCHE EMPLOI 15070.",,"415 Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",,15061 ACCOMPAGNEMENT VERS EMPLOI,,A0A0A0
15070,TECHNIQUE RECHERCHE EMPLOI,technique recherche emploi,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,curriculum vitae$CV$lettre candidature$TRE,,15061 ACCOMPAGNEMENT VERS EMPLOI,,33003 CONDUITE ENTRETIEN RECRUTEMENT,,"Employé pour les formations aux techniques de recherche d'emploi (curriculum vitae, lettre de candidature, entretien, etc.) et d'information sur le marché du travail ; pour les formations de formateurs aux techniques de recherche d'emploi, employer TECHNIQUE ORIENTATION PROFESSIONNELLE 44595.",,"415 Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",,15070 TECHNIQUE RECHERCHE EMPLOI,,A0A0A0A0
15031,ADAPTATION SOCIALE,adaptation sociale,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,exclusion$insertion sociale$marginalisation sociale,,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,,44072 TRAVAIL SOCIAL,,"Employé pour les formations visant une insertion sociale ; pour celles relatives à l'insertion professionnelle, employer ACCOMPAGNEMENT VERS EMPLOI 15061.",,"415 Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",,15031 ADAPTATION SOCIALE,,A0A0A1
15043,ALPHABETISATION,alphabétisation,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,formation illettré$illettré,,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,,15235 FRANCAIS LANGUE ETRANGERE$44077 MIGRANT$44501 PEDAGOGIE ILLETTRISME,Enseignement de l'écriture et de la lecture à des personnes ne sachant ni lire ni écrire (analphabètes) ou à des personnes ne connaissant pas un alphabet donné.,"Employé pour les formations destinées aux publics illettrés ou analphabètes et visant l'apprentissage de la lecture et de l'écriture ; pour les formations destinées aux formateurs s'occupant des publics illettrés ou analphabètes, employer PÉDAGOGIE ILLETTRISME 44501.",,412 Développement des capacités mentales et apprentissages de base,,15043 ALPHABETISATION,,A0A0A2
15081,BILAN PROFESSIONNEL,bilan professionnel,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,bilan compétences$bilan savoir-faire,,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15062 ORIENTATION PROFESSIONNELLE,44595 TECHNIQUE ORIENTATION PROFESSIONNELLE,,"Employé pour les formations de préparation à un bilan ou une évaluation des acquis professionnels ; pour les formations destinées aux professionnels de l'orientation, employer TECHNIQUE ORIENTATION PROFESSIONNELLE 44595.",,"415 Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",,15081 BILAN PROFESSIONNEL,,A0A0A3
15062,ORIENTATION PROFESSIONNELLE,orientation professionnelle,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,projet professionnel,,15081 BILAN PROFESSIONNEL,,44595 TECHNIQUE ORIENTATION PROFESSIONNELLE$14492 TEST PSYCHOLOGIQUE,Élaboration d'un projet professionnel.,"Pour les formations destinées aux professionnels de l'orientation, employer TECHNIQUE ORIENTATION PROFESSIONNELLE 44595.",,"415 Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",,15062 ORIENTATION PROFESSIONNELLE,,A0A0A3A0
15059,CONNAISSANCE MONDE ACTUEL,connaissance monde actuel,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,connaissance monde contemporain,,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,,,,"Employé pour les formations destinées aux personnes souhaitant comprendre le monde d'aujourd'hui sous ses différents aspects (économiques, juridiques, éthiques, sociaux, etc.).",,410 Spécialités concernant plusieurs capacités,,15059 CONNAISSANCE MONDE ACTUEL,,A0A0A4
15058,CULTURE GENERALE,culture générale,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,,,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,,,,Employé pour les formations de mise à niveau ou à jour de culture générale.,,410 Spécialités concernant plusieurs capacités,,15058 CULTURE GENERALE,,A0A0A5
15066,EFFICACITE PERSONNELLE,efficacité personnelle,,,DOM,150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,adaptabilité$confiance en soi$connaissance de soi$dynamisation mentale$entraînement mental$savoir-être,,15054 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL,15075 AFFIRMATION SOI$15067 CARTE HEURISTIQUE$15098 CREATIVITE PERSONNELLE$15096 DEVELOPPEMENT MEMOIRE$15020 EVALUATION PERSONNALITE$15097 GESTION STRESS$15068 GESTION TEMPS$15078 INTELLIGENCE EMOTIONNELLE$15036 LECTURE RAPIDE$15069 ORGANISATION PERSONNELLE$15089 RAISONNEMENT LOGIQUE$15099 RESOLUTION PROBLEME$15079 VALORISATION IMAGE DE SOI,,,Employé pour les formations à l'ensemble des méthodes permettant d'accroître ses facultés mentales et son efficacité personnelle.,,412 Développement des capacités mentales et apprentissages de base,,15066 EFFICACITE PERSONNELLE,,A0A0A6
